implementation,block_size,array_size,power_of_two,time_ms
CPUScan,64,1048576,1,0.29676
NaiveScan,64,1048576,1,0.547853
EfficientScan,64,1048576,1,0.951005
EfficientCompact,64,1048576,1,0.481744
CPUCompactWithScan,64,1048576,1,3.9045
CPUCompactWithoutuScan,64,1048576,1,1.82854
RadixSort,64,1048576,1,0.638733
CPUScan,128,1048576,1,0.28057
NaiveScan,128,1048576,1,0.384598
EfficientScan,128,1048576,1,0.943344
EfficientCompact,128,1048576,1,0.490736
CPUCompactWithScan,128,1048576,1,3.67721
CPUCompactWithoutuScan,128,1048576,1,2.09129
RadixSort,128,1048576,1,0.373843
CPUScan,256,1048576,1,0.31144
NaiveScan,256,1048576,1,0.344522
EfficientScan,256,1048576,1,0.978797
EfficientCompact,256,1048576,1,0.48271
CPUCompactWithScan,256,1048576,1,3.88545
CPUCompactWithoutuScan,256,1048576,1,2.4543
RadixSort,256,1048576,1,0.35759
CPUScan,512,1048576,1,0.28999
NaiveScan,512,1048576,1,0.340048
EfficientScan,512,1048576,1,1.09746
EfficientCompact,512,1048576,1,0.559203
CPUCompactWithScan,512,1048576,1,4.62702
CPUCompactWithoutuScan,512,1048576,1,2.53397
RadixSort,512,1048576,1,0.595139
CPUScan,1024,1048576,1,0.41882
NaiveScan,1024,1048576,1,0.499978
EfficientScan,1024,1048576,1,1.0962
EfficientCompact,1024,1048576,1,0.533606
CPUCompactWithScan,1024,1048576,1,4.39755
CPUCompactWithoutuScan,1024,1048576,1,1.98094
RadixSort,1024,1048576,1,0.465843
CPUScan,256,256,1,0.0001
NaiveScan,256,256,1,0.042496
ThrustScan,256,256,1,0.224973
EfficientScan,256,256,1,0.330854
EfficientSharedMemScan,256,256,1,0.0183296
EfficientBankOptimizedSharedMemScan,256,256,1,0.0139264
EfficientCompact,256,256,1,0.1664
CPUCompactWithScan,256,256,1,0.00312
CPUCompactWithoutuScan,256,256,1,0.00018
RadixSort,256,256,1,0.0299008
CPUScan,256,1024,1,0.00024
NaiveScan,256,1024,1,0.0838656
ThrustScan,256,1024,1,0.0295936
EfficientScan,256,1024,1,0.420966
EfficientSharedMemScan,256,1024,1,0.0118784
EfficientBankOptimizedSharedMemScan,256,1024,1,0.0106496
EfficientCompact,256,1024,1,0.179814
CPUCompactWithScan,256,1024,1,0.0041
CPUCompactWithoutuScan,256,1024,1,0.00078
RadixSort,256,1024,1,0.0769024
CPUScan,256,8192,1,0.00291
NaiveScan,256,8192,1,0.0986112
ThrustScan,256,8192,1,0.0304128
EfficientScan,256,8192,1,0.443187
EfficientSharedMemScan,256,8192,1,0.022528
EfficientBankOptimizedSharedMemScan,256,8192,1,0.0196608
EfficientCompact,256,8192,1,0.234394
CPUCompactWithScan,256,8192,1,0.03728
CPUCompactWithoutuScan,256,8192,1,0.00944
RadixSort,256,8192,1,0.108851
CPUScan,256,32768,1,0.00854
NaiveScan,256,32768,1,0.177744
ThrustScan,256,32768,1,0.0769472
EfficientScan,256,32768,1,0.532586
EfficientSharedMemScan,256,32768,1,0.0482336
EfficientBankOptimizedSharedMemScan,256,32768,1,0.0489184
EfficientCompact,256,32768,1,0.262406
CPUCompactWithScan,256,32768,1,0.13038
CPUCompactWithoutuScan,256,32768,1,0.05933
RadixSort,256,32768,1,0.213395
CPUScan,256,131072,1,0.03016
NaiveScan,256,131072,1,0.155574
ThrustScan,256,131072,1,0.0520704
EfficientScan,256,131072,1,0.607254
EfficientSharedMemScan,256,131072,1,0.0605696
EfficientBankOptimizedSharedMemScan,256,131072,1,0.0634368
EfficientCompact,256,131072,1,0.362787
CPUCompactWithScan,256,131072,1,0.49113
CPUCompactWithoutuScan,256,131072,1,0.21795
RadixSort,256,131072,1,0.168806
CPUScan,256,1048576,1,0.34746
NaiveScan,256,1048576,1,0.32417
ThrustScan,256,1048576,1,0.146208
EfficientScan,256,1048576,1,1.01733
EfficientSharedMemScan,256,1048576,1,0.137469
EfficientBankOptimizedSharedMemScan,256,1048576,1,0.111488
EfficientCompact,256,1048576,1,0.485875
CPUCompactWithScan,256,1048576,1,4.0594
CPUCompactWithoutuScan,256,1048576,1,2.65012
RadixSort,256,1048576,1,0.339194
CPUScan,256,4194304,1,2.07581
NaiveScan,256,4194304,1,1.706
ThrustScan,256,4194304,1,0.203578
EfficientScan,256,4194304,1,1.75386
EfficientSharedMemScan,256,4194304,1,0.422819
EfficientBankOptimizedSharedMemScan,256,4194304,1,0.353306
EfficientCompact,256,4194304,1,1.32138
CPUCompactWithScan,256,4194304,1,16.8136
CPUCompactWithoutuScan,256,4194304,1,8.59004
RadixSort,256,4194304,1,2.1252
CPUScan,256,16777216,1,8.79466
NaiveScan,256,16777216,1,17.7327
ThrustScan,256,16777216,1,0.677619
EfficientScan,256,16777216,1,7.4386
EfficientSharedMemScan,256,16777216,1,0.0025632
EfficientBankOptimizedSharedMemScan,256,16777216,1,0.0025472
EfficientCompact,256,16777216,1,8.11009
CPUCompactWithScan,256,16777216,1,68.0669
CPUCompactWithoutuScan,256,16777216,1,34.5437
RadixSort,256,16777216,1,15.6761
CPUScan,256,67108864,1,33.1646
NaiveScan,256,67108864,1,79.3013
ThrustScan,256,67108864,1,2.72899
EfficientScan,256,67108864,1,25.291
EfficientSharedMemScan,256,67108864,1,0.0029728
EfficientBankOptimizedSharedMemScan,256,67108864,1,0.0027392
EfficientCompact,256,67108864,1,34.6541
CPUCompactWithScan,256,67108864,1,439.386
CPUCompactWithoutuScan,256,67108864,1,151.334
RadixSort,256,67108864,1,93.8617
CPUScan,256,253,0,0.0001
NaiveScan,256,253,0,0.0405504
ThrustScan,256,253,0,0.223738
EfficientScan,256,253,0,0.29911
EfficientSharedMemScan,256,253,0,0.0098304
EfficientBankOptimizedSharedMemScan,256,253,0,0.0100352
EfficientCompact,256,253,0,0.195891
CPUCompactWithScan,256,253,0,0.00254
CPUCompactWithoutuScan,256,253,0,0.0002
RadixSort,256,253,0,0.0438272
CPUScan,256,1021,0,0.00024
NaiveScan,256,1021,0,0.073216
ThrustScan,256,1021,0,0.0304128
EfficientScan,256,1021,0,0.314061
EfficientSharedMemScan,256,1021,0,0.0139264
EfficientBankOptimizedSharedMemScan,256,1021,0,0.0156672
EfficientCompact,256,1021,0,0.163526
CPUCompactWithScan,256,1021,0,0.00671
CPUCompactWithoutuScan,256,1021,0,0.00095
RadixSort,256,1021,0,0.0693248
CPUScan,256,8189,0,0.00176
NaiveScan,256,8189,0,0.0780288
ThrustScan,256,8189,0,0.0247808
EfficientScan,256,8189,0,0.340275
EfficientSharedMemScan,256,8189,0,0.0169984
EfficientBankOptimizedSharedMemScan,256,8189,0,0.0134144
EfficientCompact,256,8189,0,0.176026
CPUCompactWithScan,256,8189,0,0.03127
CPUCompactWithoutuScan,256,8189,0,0.01134
RadixSort,256,8189,0,0.0753664
CPUScan,256,32765,0,0.00675
NaiveScan,256,32765,0,0.11104
ThrustScan,256,32765,0,0.0371392
EfficientScan,256,32765,0,0.388339
EfficientSharedMemScan,256,32765,0,0.042592
EfficientBankOptimizedSharedMemScan,256,32765,0,0.0389504
EfficientCompact,256,32765,0,0.196758
CPUCompactWithScan,256,32765,0,0.15536
CPUCompactWithoutuScan,256,32765,0,0.05429
RadixSort,256,32765,0,0.113571
CPUScan,256,131069,0,0.02977
NaiveScan,256,131069,0,0.118579
ThrustScan,256,131069,0,0.0477472
EfficientScan,256,131069,0,0.447466
EfficientSharedMemScan,256,131069,0,0.0447392
EfficientBankOptimizedSharedMemScan,256,131069,0,0.0427392
EfficientCompact,256,131069,0,0.26376
CPUCompactWithScan,256,131069,0,0.91422
CPUCompactWithoutuScan,256,131069,0,0.57563
RadixSort,256,131069,0,0.1316
CPUScan,256,1048573,0,0.34776
NaiveScan,256,1048573,0,0.24305
ThrustScan,256,1048573,0,0.127475
EfficientScan,256,1048573,0,0.603056
EfficientSharedMemScan,256,1048573,0,0.0968768
EfficientBankOptimizedSharedMemScan,256,1048573,0,0.0834528
EfficientCompact,256,1048573,0,0.42945
CPUCompactWithScan,256,1048573,0,5.33821
CPUCompactWithoutuScan,256,1048573,0,1.92851
RadixSort,256,1048573,0,0.236144
CPUScan,256,4194301,0,1.91732
NaiveScan,256,4194301,0,1.40028
ThrustScan,256,4194301,0,0.179446
EfficientScan,256,4194301,0,1.0084
EfficientSharedMemScan,256,4194301,0,0.257606
EfficientBankOptimizedSharedMemScan,256,4194301,0,0.216342
EfficientCompact,256,4194301,0,0.955834
CPUCompactWithScan,256,4194301,0,19.3956
CPUCompactWithoutuScan,256,4194301,0,8.84729
RadixSort,256,4194301,0,1.42202
CPUScan,256,16777213,0,8.18109
NaiveScan,256,16777213,0,15.0227
ThrustScan,256,16777213,0,0.702128
EfficientScan,256,16777213,0,7.0073
EfficientSharedMemScan,256,16777213,0,0.0029728
EfficientBankOptimizedSharedMemScan,256,16777213,0,0.0029952
EfficientCompact,256,16777213,0,8.16237
CPUCompactWithScan,256,16777213,0,78.1366
CPUCompactWithoutuScan,256,16777213,0,35.9248
RadixSort,256,16777213,0,16.7439
CPUScan,256,67108861,0,41.9802
NaiveScan,256,67108861,0,70.7106
ThrustScan,256,67108861,0,2.96872
EfficientScan,256,67108861,0,25.8569
EfficientSharedMemScan,256,67108861,0,0.002896
EfficientBankOptimizedSharedMemScan,256,67108861,0,0.0027552
EfficientCompact,256,67108861,0,34.7935
CPUCompactWithScan,256,67108861,0,602.122
CPUCompactWithoutuScan,256,67108861,0,166.968
RadixSort,256,67108861,0,70.2384
